은행,카드명,혜택,분류
우리은행,로얄블루1000카드 [SKYPASS],"명품점 점장 Escort, 미술관 Docent 서비스 등 차별화 된 의전혜택 제공
100만원 상당의 GIFT는 기본, 연간 이용실적에 따른 추가 GIFT 제공
항공권, 국내외 호텔 숙박, 골프선할인 등 다양한 Premium 혜택 제공","2, 6, 7,"
우리은행,로얄블루1000카드 [ASIANA],"명품점 점장 Escort, 미술관 Docent 서비스 등 차별화 된 의전혜택 제공
100만원 상당의 GIFT는 기본, 연간 이용실적에 따른 추가 GIFT 제공
항공권, 국내외 호텔 숙박, 골프선할인 등 다양한 Premium 혜택 제공","2, 6, 7,"
우리은행,ROYAL BLUE POINT,"프리미엄 기프트(연1회)
4가지 기프트 중 택 1, 프리미엄 여행  
기프트, 국내외 공항 라운지
무료 이용 서비스, 모아포인트
1 ~ 2% 적립","3, 6,"
우리은행,ROYAL BLUE MILEAGE (SKYPASS),"프리미엄 기프트(연1회)
4가지 기프트 중 택 1, 프리미엄 여행
기프트, 국내외 공항 라운지 
무료 이용 서비스, 대한항공
마일리지 적립","6,"
우리은행,ROYAL BLUE MILEAGE (AsianaClub),"프리미엄 기프트(연1회)
4가지 기프트 중 택 1, 프리미엄 여행 
기프트, 국내외 공항 라운지 
무료 이용 서비스, 아시아나항공
마일리지 적립","6,"
우리은행,카드의정석 PREMIUM POINT,"프리미엄 기프트(연1회)
5가지 기프트 중 택 1, 국내외 공항라운지
무료 이용 서비스, 모아포인트
0.8 ~ 2% 적립, 주유 할인","3, 4, 6,"
우리은행,카드의정석 PREMIUM MILEAGE SKYPASS,"프리미엄 기프트(연1회)
5가지 기프트 중 택 1, 국내외 공항라운지 
무료 이용 서비스, 대한항공
마일리지 적립, 주유 할인","4, 6,"
우리은행,카드의정석 PREMIUM MILEAGE (AsianaClub),"프리미엄 기프트(연1회)
5가지 기프트 중 택 1, 국내외 공항라운지 
무료 이용 서비스, 아시아나항공 
마일리지 적립, 주유 할인","4, 6,"
우리은행,카드의정석 위비온 플러스,"국내 5%, 해외 3% 할인
워라밸 업종 7% 할인 및 해외서비스 제공
대중교통/택시, 이동통신 10% 할인","2, 5, 6,"
우리은행,DA@카드의정석,"국내외 전 가맹점 결제 시 0.8% 청구할인(횟수제한 없음)
생활업종 가맹점 결제 시 1.3% 청구할인(횟수제한 없음)
카드발급월 포함 4개월 내 카드사용 1건 이상 시 최초 1회는 무료이용 제공(Master Card브랜드로 발급 시 제공)","3,"
우리은행,D4@카드의정석,"커피 4대 브랜드 스타벅스, 투썸플레이트, 폴바셋, 커피빈 55% 청구할인
시내버스, 지하철(후불교통기능 선택 시), 택시 건당 2,200원 할인
편의점 11% 청구할인, 영화관 5,500원 할인","1, 2, 7,"
